incident_severity,umbrella_limit,witnesses,vehicle_claim,incident_city,total_claim_amount,insured_hobbies,authorities_contacted,property_claim,incident_state,policy_state,bodily_injuries,policy_csl,insured_sex,injury_claim,auto_make,number_of_vehicles_involved,police_report_available,incident_type,insured_relationship,fraud_reported
Total Loss,0,1,41160,Northbend,58800,hiking,Ambulance,5880,WV,IL,2,250/500,MALE,11760,Nissan,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,2,35820,Northbrook,53730,chess,Ambulance,5970,PA,IL,0,250/500,FEMALE,11940,Dodge,3,NO,Multi-vehicle Collision,not-in-family,Y
Total Loss,0,0,45450,Arlington,60600,cross-fit,Ambulance,10100,NY,IL,0,100/300,FEMALE,5050,Honda,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,3,26000,Northbrook,35750,movies,Other,3250,NY,OH,0,250/500,FEMALE,6500,Mercedes,1,YES,Single Vehicle Collision,other-relative,N
Total Loss,0,2,32130,Arlington,42840,exercise,Ambulance,7140,WV,IN,1,100/300,FEMALE,3570,Chevrolet,1,YES,Single Vehicle Collision,wife,N
Major Damage,0,0,58640,Springfield,87960,hiking,Fire,14660,SC,IL,1,250/500,MALE,14660,Jeep,3,NO,Multi-vehicle Collision,own-child,Y
Minor Damage,0,0,38240,Hillsdale,47800,camping,Ambulance,4780,SC,IL,1,250/500,MALE,4780,Jeep,3,NO,Multi-vehicle Collision,other-relative,N
Trivial Damage,7000000,1,2560,Northbrook,3840,exercise,Police,640,NY,IL,0,500/1000,FEMALE,640,Chevrolet,1,NO,Vehicle Theft,unmarried,N
Total Loss,0,2,56000,Riverwood,77000,hiking,Fire,7000,NY,IN,0,100/300,MALE,14000,Accura,1,NO,Single Vehicle Collision,own-child,N
Total Loss,0,3,56070,Springfield,88110,skydiving,Ambulance,16020,WV,IL,1,250/500,FEMALE,16020,Audi,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,2,39060,Northbend,47740,hiking,Fire,4340,SC,IN,0,100/300,MALE,4340,Honda,4,YES,Multi-vehicle Collision,other-relative,N
Total Loss,0,1,42880,Northbend,58960,video-games,Fire,10720,SC,OH,2,100/300,FEMALE,5360,Ford,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,2,1440,Northbrook,2160,skydiving,Police,240,NC,OH,1,250/500,FEMALE,480,Toyota,1,NO,Parked Car,own-child,N
Trivial Damage,0,1,5300,Riverwood,6890,exercise,Police,1060,SC,IL,1,100/300,FEMALE,530,Jeep,1,NO,Vehicle Theft,own-child,N
Major Damage,5000000,0,57360,Springfield,78870,kayaking,Ambulance,14340,VA,IL,2,100/300,FEMALE,7170,Suburu,3,YES,Multi-vehicle Collision,husband,N
Trivial Damage,0,1,2100,Columbus,2700,basketball,Police,300,SC,IN,1,100/300,FEMALE,300,Ford,1,NO,Vehicle Theft,other-relative,N
Total Loss,0,1,63300,Riverwood,75960,kayaking,Ambulance,6330,WV,IL,0,100/300,FEMALE,6330,Jeep,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,3,54960,Northbrook,75570,video-games,Police,13740,WV,IN,1,250/500,FEMALE,6870,BMW,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,5000000,3,60160,Columbus,90240,exercise,Police,15040,SC,IL,2,500/1000,FEMALE,15040,Chevrolet,1,YES,Single Vehicle Collision,unmarried,N
Major Damage,0,0,58880,Springfield,80960,dancing,Ambulance,7360,SC,IN,0,100/300,FEMALE,14720,Accura,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,3,59310,Riverwood,79080,skydiving,Other,13180,VA,IL,1,100/300,MALE,6590,Mercedes,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,3,4960,Columbus,6820,paintball,,620,SC,IN,0,500/1000,MALE,1240,Mercedes,1,NO,Vehicle Theft,not-in-family,N
Total Loss,0,2,45520,Northbend,62590,sleeping,Fire,11380,WV,OH,1,100/300,FEMALE,5690,Nissan,3,YES,Multi-vehicle Collision,wife,N
Major Damage,0,0,39300,Arlington,52400,dancing,Other,6550,NY,OH,1,250/500,FEMALE,6550,Accura,1,YES,Single Vehicle Collision,wife,Y
Major Damage,0,3,46240,Arlington,63580,basketball,Ambulance,11560,WV,IL,1,250/500,MALE,5780,Volkswagen,3,YES,Multi-vehicle Collision,husband,N
Minor Damage,0,1,49120,Riverwood,61400,reading,Police,6140,NY,IL,2,250/500,FEMALE,6140,Nissan,3,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,0,3,3290,Northbend,4700,paintball,,470,VA,IL,1,250/500,MALE,940,Dodge,1,NO,Parked Car,own-child,Y
Total Loss,0,2,47180,Riverwood,74140,hiking,Fire,13480,SC,IN,0,250/500,FEMALE,13480,BMW,1,YES,Single Vehicle Collision,other-relative,N
Major Damage,4000000,2,62370,Hillsdale,83160,reading,Other,13860,VA,OH,2,500/1000,FEMALE,6930,Volkswagen,1,NO,Single Vehicle Collision,wife,N
Trivial Damage,7000000,2,8300,Arlington,10790,paintball,Police,830,NC,OH,0,250/500,FEMALE,1660,Mercedes,1,YES,Parked Car,other-relative,N
Major Damage,0,3,30590,Arlington,48070,paintball,Police,8740,NC,IL,1,100/300,FEMALE,8740,Saab,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,0,34020,Northbrook,51030,golf,Ambulance,11340,SC,OH,0,100/300,FEMALE,5670,Suburu,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,1,37870,Arlington,43280,yachting,Fire,5410,VA,IN,0,100/300,MALE,0,Honda,1,NO,Single Vehicle Collision,husband,Y
Major Damage,0,3,53480,Hillsdale,76400,paintball,Fire,7640,SC,IN,1,250/500,FEMALE,15280,Suburu,1,NO,Single Vehicle Collision,own-child,N
Total Loss,0,2,48020,Hillsdale,75460,board-games,Ambulance,13720,VA,IN,0,100/300,MALE,13720,Audi,1,NO,Single Vehicle Collision,wife,N
Major Damage,0,1,48300,Northbrook,69000,polo,Other,6900,OH,OH,2,100/300,MALE,13800,Ford,3,YES,Multi-vehicle Collision,unmarried,Y
Minor Damage,0,2,6480,Springfield,8640,golf,Police,720,VA,IN,1,250/500,MALE,1440,Accura,1,NO,Vehicle Theft,other-relative,N
Minor Damage,0,1,42770,Arlington,67210,dancing,Ambulance,12220,SC,OH,2,250/500,MALE,12220,BMW,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,3,34000,Arlington,42500,basketball,Ambulance,4250,NC,IN,0,500/1000,MALE,4250,Volkswagen,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,1,64800,Arlington,86400,basketball,Fire,7200,SC,OH,0,100/300,MALE,14400,Accura,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,2,2940,Hillsdale,4620,chess,Police,840,SC,IL,2,500/1000,MALE,840,Dodge,1,NO,Vehicle Theft,not-in-family,Y
Trivial Damage,0,2,5040,Springfield,6930,camping,Police,1260,NC,IL,2,100/300,FEMALE,630,Honda,1,NO,Parked Car,unmarried,N
Minor Damage,0,2,25020,Northbend,41700,hiking,Other,8340,SC,IL,1,100/300,FEMALE,8340,Saab,3,YES,Multi-vehicle Collision,not-in-family,N
Major Damage,0,1,49210,Northbrook,77330,board-games,Other,14060,NY,IL,2,100/300,MALE,14060,Volkswagen,1,NO,Single Vehicle Collision,wife,Y
Trivial Damage,0,3,3600,Arlington,4950,sleeping,Police,450,WV,IN,2,500/1000,MALE,900,Ford,1,YES,Vehicle Theft,own-child,N
Minor Damage,6000000,2,3440,Northbrook,5160,polo,Police,860,NC,IL,0,500/1000,MALE,860,Accura,1,YES,Vehicle Theft,own-child,N
Total Loss,0,1,19110,Riverwood,24570,yachting,Fire,2730,WV,IL,2,100/300,FEMALE,2730,Saab,3,NO,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,0,39040,Arlington,53680,movies,Ambulance,9760,WV,IN,1,100/300,FEMALE,4880,Toyota,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,1,35100,Columbus,42900,bungie-jumping,Police,3900,WV,IN,1,500/1000,MALE,3900,Chevrolet,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,5000000,0,58870,Arlington,84100,chess,Fire,8410,NY,OH,0,250/500,MALE,16820,Ford,1,NO,Single Vehicle Collision,wife,Y
Total Loss,0,3,47880,Northbrook,61560,dancing,Fire,6840,NY,IN,1,100/300,FEMALE,6840,Ford,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,0,0,33180,Hillsdale,44240,hiking,Police,5530,NY,IN,0,500/1000,FEMALE,5530,Dodge,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,3,40390,Columbus,57700,hiking,Ambulance,5770,VA,IN,2,500/1000,FEMALE,11540,Jeep,4,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,2,74790,Springfield,108030,exercise,Other,16620,WV,OH,2,100/300,FEMALE,16620,Saab,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,5000000,0,38010,Riverwood,54300,dancing,Fire,5430,SC,IN,2,100/300,FEMALE,10860,Toyota,1,YES,Single Vehicle Collision,unmarried,N
Major Damage,0,2,21520,Columbus,32280,movies,Ambulance,5380,SC,IN,1,100/300,MALE,5380,Ford,3,NO,Multi-vehicle Collision,wife,Y
Total Loss,0,1,59220,Riverwood,84600,camping,Other,8460,WV,IN,1,250/500,MALE,16920,Chevrolet,3,NO,Multi-vehicle Collision,other-relative,N
Total Loss,6000000,3,55760,Springfield,69700,camping,Other,6970,SC,IL,1,250/500,MALE,6970,BMW,1,YES,Single Vehicle Collision,own-child,N
Total Loss,3000000,1,25480,Springfield,36400,movies,Ambulance,7280,WV,OH,0,100/300,MALE,3640,Volkswagen,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,2,28140,Northbrook,37520,paintball,Police,4690,SC,OH,0,250/500,FEMALE,4690,Jeep,3,YES,Multi-vehicle Collision,own-child,N
Major Damage,0,3,50330,Northbend,79090,paintball,Ambulance,14380,NY,OH,2,500/1000,FEMALE,14380,Dodge,3,NO,Multi-vehicle Collision,wife,N
Major Damage,0,2,45180,Springfield,67770,board-games,Other,15060,NY,OH,0,250/500,MALE,7530,Mercedes,1,YES,Single Vehicle Collision,not-in-family,Y
Total Loss,3000000,0,33180,Northbend,47400,chess,Other,4740,OH,OH,1,100/300,MALE,9480,Chevrolet,1,NO,Single Vehicle Collision,wife,Y
Total Loss,0,2,49770,Northbend,71100,skydiving,Other,14220,SC,IN,0,100/300,MALE,7110,Audi,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,2,48580,Springfield,69400,dancing,Police,6940,NY,OH,2,100/300,MALE,13880,BMW,1,NO,Single Vehicle Collision,wife,N
Major Damage,0,1,40000,Northbrook,55000,board-games,Other,10000,SC,OH,2,500/1000,MALE,5000,Saab,3,NO,Multi-vehicle Collision,not-in-family,Y
Total Loss,0,3,35370,Arlington,51090,polo,Police,7860,WV,IN,1,250/500,MALE,7860,Toyota,2,YES,Multi-vehicle Collision,not-in-family,N
Major Damage,0,3,38520,Springfield,64200,camping,Fire,19260,NY,OH,2,500/1000,MALE,6420,Honda,1,NO,Single Vehicle Collision,unmarried,Y
Total Loss,0,0,42840,Riverwood,67320,base-jumping,Other,12240,NC,IL,2,500/1000,MALE,12240,Ford,1,YES,Single Vehicle Collision,own-child,N
Major Damage,0,0,55360,Arlington,76120,movies,Other,13840,NC,IL,2,250/500,MALE,6920,Audi,4,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,1,58860,Hillsdale,85020,movies,Ambulance,13080,SC,OH,2,500/1000,FEMALE,13080,Ford,2,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,6000000,1,43330,Northbrook,68090,polo,Fire,12380,NY,OH,0,250/500,MALE,12380,Toyota,3,NO,Multi-vehicle Collision,unmarried,N
Trivial Damage,0,2,4690,Arlington,6030,exercise,Police,670,WV,IL,1,100/300,FEMALE,670,Nissan,1,NO,Parked Car,wife,N
Minor Damage,0,3,3570,Springfield,5100,yachting,,510,OH,IL,1,500/1000,MALE,1020,Chevrolet,1,NO,Vehicle Theft,wife,N
Trivial Damage,0,3,3570,Springfield,4590,yachting,Police,510,WV,IN,1,100/300,MALE,510,Volkswagen,1,YES,Vehicle Theft,own-child,N
Major Damage,0,2,50680,Columbus,72400,yachting,Other,14480,SC,IL,1,250/500,FEMALE,7240,Chevrolet,2,NO,Multi-vehicle Collision,not-in-family,Y
Major Damage,0,3,49630,Northbrook,70900,skydiving,Fire,7090,NY,IN,2,250/500,MALE,14180,Mercedes,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,3,52080,Springfield,65100,hiking,Other,6510,WV,IL,2,500/1000,FEMALE,6510,Saab,2,YES,Multi-vehicle Collision,husband,N
Total Loss,0,1,49980,Hillsdale,64260,chess,Ambulance,14280,PA,OH,2,100/300,FEMALE,0,Ford,3,YES,Multi-vehicle Collision,husband,N
Major Damage,0,1,50890,Arlington,79970,yachting,Ambulance,21810,WV,IL,2,500/1000,FEMALE,7270,Honda,1,NO,Single Vehicle Collision,not-in-family,Y
Total Loss,0,0,44030,Northbrook,56610,bungie-jumping,Police,6290,SC,IN,2,100/300,FEMALE,6290,Chevrolet,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,1,69210,Northbrook,84590,polo,Fire,7690,VA,IN,1,500/1000,FEMALE,7690,Toyota,1,NO,Single Vehicle Collision,wife,Y
Major Damage,0,1,44520,Hillsdale,66780,sleeping,Fire,14840,SC,OH,2,250/500,MALE,7420,Mercedes,3,YES,Multi-vehicle Collision,wife,N
Major Damage,0,2,52000,Springfield,58500,exercise,Police,6500,NC,IN,1,100/300,MALE,0,Ford,1,YES,Single Vehicle Collision,own-child,N
Trivial Damage,0,0,4000,Columbus,5000,golf,Police,500,WV,IL,2,100/300,FEMALE,500,Dodge,1,NO,Parked Car,other-relative,N
Trivial Damage,5000000,1,3500,Springfield,5000,chess,Police,1000,PA,IL,2,100/300,FEMALE,500,Mercedes,1,NO,Parked Car,unmarried,Y
Major Damage,6000000,3,36300,Columbus,54450,camping,Ambulance,12100,NY,IL,1,250/500,FEMALE,6050,Saab,3,YES,Multi-vehicle Collision,other-relative,N
Major Damage,5000000,3,48160,Northbrook,61920,bungie-jumping,Police,6880,WV,OH,1,250/500,FEMALE,6880,Saab,3,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,0,2,34960,Hillsdale,43700,cross-fit,Ambulance,4370,VA,OH,1,250/500,MALE,4370,Nissan,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,0,49840,Riverwood,64080,bungie-jumping,Other,7120,NC,IN,2,100/300,MALE,7120,Ford,1,NO,Single Vehicle Collision,wife,N
Total Loss,0,1,35000,Hillsdale,55000,chess,Other,10000,SC,IL,2,250/500,MALE,10000,Volkswagen,1,NO,Single Vehicle Collision,own-child,Y
Trivial Damage,4000000,3,3850,Columbus,4400,video-games,Police,550,WV,IN,2,250/500,FEMALE,0,Toyota,1,NO,Vehicle Theft,own-child,N
Minor Damage,0,1,53730,Hillsdale,71640,movies,Police,11940,SC,OH,0,100/300,MALE,5970,Toyota,2,YES,Multi-vehicle Collision,other-relative,N
Minor Damage,0,0,48020,Arlington,61740,reading,Other,6860,NY,OH,1,100/300,MALE,6860,Accura,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,3,46000,Springfield,57500,golf,Ambulance,5750,SC,OH,0,500/1000,FEMALE,5750,Audi,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,4000000,0,6090,Springfield,8700,reading,Police,1740,NY,IN,0,250/500,FEMALE,870,Accura,1,NO,Parked Car,wife,N
Total Loss,0,1,53970,Riverwood,77100,polo,Police,7710,VA,OH,2,100/300,FEMALE,15420,Volkswagen,4,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,0,46200,Springfield,59400,dancing,Police,6600,NY,IL,2,250/500,MALE,6600,Dodge,1,YES,Single Vehicle Collision,wife,N
Minor Damage,0,0,39920,Northbrook,54890,kayaking,Fire,4990,NY,IN,1,100/300,MALE,9980,Toyota,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,1,53840,Columbus,74030,kayaking,Other,13460,WV,IL,2,250/500,MALE,6730,Chevrolet,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,2,39130,Columbus,61490,chess,Other,11180,NY,IL,1,250/500,FEMALE,11180,BMW,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,2,59670,Northbrook,79560,board-games,Police,13260,SC,IN,0,250/500,MALE,6630,Volkswagen,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,1,3920,Northbend,4900,yachting,Police,490,NY,IL,0,100/300,MALE,490,Toyota,1,NO,Parked Car,wife,N
Total Loss,0,0,49490,Springfield,77770,paintball,Other,14140,WV,IL,1,250/500,MALE,14140,Nissan,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,2,52290,Columbus,74700,board-games,Fire,14940,SC,IN,2,500/1000,FEMALE,7470,Nissan,2,NO,Multi-vehicle Collision,unmarried,Y
Minor Damage,0,2,32480,Arlington,40600,sleeping,Police,4060,NY,IL,2,100/300,MALE,4060,Volkswagen,2,NO,Multi-vehicle Collision,husband,N
Total Loss,0,0,25150,Springfield,45270,video-games,Ambulance,10060,SC,OH,1,100/300,MALE,10060,Jeep,1,NO,Single Vehicle Collision,husband,N
Minor Damage,7000000,3,34240,Springfield,47080,kayaking,Ambulance,8560,NY,IL,0,100/300,FEMALE,4280,Saab,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,0,32560,Hillsdale,40700,chess,Police,4070,SC,OH,0,500/1000,FEMALE,4070,Volkswagen,1,NO,Single Vehicle Collision,husband,Y
Minor Damage,0,1,25200,Riverwood,34650,polo,Police,3150,NY,OH,2,100/300,FEMALE,6300,Ford,1,YES,Single Vehicle Collision,own-child,N
Trivial Damage,0,0,2400,Riverwood,3200,camping,Police,400,WV,OH,2,500/1000,MALE,400,Jeep,1,NO,Parked Car,wife,N
Major Damage,0,1,57440,Hillsdale,78980,yachting,Fire,14360,VA,IL,1,500/1000,MALE,7180,Saab,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,0,0,4480,Riverwood,6160,reading,,1120,SC,OH,1,500/1000,MALE,560,Nissan,1,NO,Parked Car,not-in-family,N
Major Damage,0,1,62000,Northbrook,85250,hiking,Ambulance,7750,NC,IN,1,100/300,FEMALE,15500,Mercedes,1,NO,Single Vehicle Collision,own-child,N
Major Damage,5000000,2,54630,Springfield,72840,camping,Fire,6070,SC,IL,1,100/300,MALE,12140,Dodge,4,NO,Multi-vehicle Collision,not-in-family,N
Trivial Damage,0,2,3850,Northbend,6050,base-jumping,Police,1100,WV,IN,0,100/300,MALE,1100,Toyota,1,NO,Parked Car,husband,N
Major Damage,0,3,63920,Riverwood,87890,hiking,Fire,7990,SC,IN,2,250/500,FEMALE,15980,BMW,1,YES,Single Vehicle Collision,wife,Y
Total Loss,0,2,44000,Northbrook,60500,chess,Other,5500,NY,IL,0,100/300,FEMALE,11000,Ford,2,YES,Multi-vehicle Collision,wife,Y
Minor Damage,0,1,56140,Columbus,88220,kayaking,Fire,16040,NY,IN,2,500/1000,FEMALE,16040,Chevrolet,3,NO,Multi-vehicle Collision,other-relative,N
Total Loss,6000000,2,39040,Springfield,53680,video-games,Other,4880,SC,OH,1,500/1000,FEMALE,9760,Accura,2,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,2,43040,Springfield,53800,golf,Fire,5380,VA,OH,0,500/1000,MALE,5380,Accura,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,2,40770,Columbus,54360,dancing,Police,9060,NY,OH,1,100/300,FEMALE,4530,Mercedes,1,NO,Single Vehicle Collision,husband,Y
Major Damage,0,3,39520,Arlington,54340,bungie-jumping,Police,4940,WV,IL,0,500/1000,FEMALE,9880,Toyota,1,YES,Single Vehicle Collision,husband,N
Trivial Damage,0,2,2080,Columbus,2860,chess,,260,SC,OH,0,100/300,FEMALE,520,Chevrolet,1,YES,Parked Car,wife,Y
Minor Damage,0,1,4270,Hillsdale,5490,polo,Police,1220,WV,OH,2,100/300,MALE,0,Saab,1,YES,Vehicle Theft,own-child,N
Trivial Damage,0,2,5360,Northbend,7370,dancing,Police,1340,WV,IL,0,500/1000,MALE,670,Suburu,1,NO,Vehicle Theft,unmarried,N
Major Damage,0,0,40640,Columbus,50800,chess,Ambulance,5080,NC,OH,1,500/1000,FEMALE,5080,Audi,3,NO,Multi-vehicle Collision,husband,Y
Minor Damage,5000000,1,31140,Northbrook,41520,video-games,Fire,5190,VA,IL,1,250/500,MALE,5190,Nissan,2,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,3,65200,Riverwood,89650,movies,Police,16300,NY,OH,2,500/1000,FEMALE,8150,Dodge,1,YES,Single Vehicle Collision,husband,N
Total Loss,0,3,39690,Hillsdale,39690,base-jumping,Police,0,NY,OH,0,100/300,FEMALE,0,Suburu,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,0,0,50940,Springfield,62260,golf,Ambulance,5660,SC,IL,2,500/1000,FEMALE,5660,Saab,1,NO,Single Vehicle Collision,husband,N
Major Damage,0,1,37760,Hillsdale,51920,paintball,Police,4720,NC,IL,0,250/500,FEMALE,9440,Audi,1,YES,Single Vehicle Collision,not-in-family,Y
Minor Damage,5000000,2,38880,Riverwood,53460,bungie-jumping,Other,4860,NY,IL,2,250/500,MALE,9720,Volkswagen,1,NO,Single Vehicle Collision,wife,N
Total Loss,0,1,45680,Arlington,57100,golf,Fire,5710,SC,OH,2,100/300,FEMALE,5710,Honda,3,YES,Multi-vehicle Collision,not-in-family,N
Total Loss,0,3,56320,Springfield,77440,yachting,Ambulance,7040,NY,IN,2,250/500,MALE,14080,Dodge,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,2,47810,Riverwood,68300,bungie-jumping,Ambulance,13660,NY,IL,1,500/1000,MALE,6830,Suburu,1,NO,Single Vehicle Collision,husband,N
Trivial Damage,0,2,3680,Arlington,5060,base-jumping,,920,NY,OH,0,500/1000,MALE,460,Honda,1,NO,Parked Car,other-relative,N
Total Loss,0,2,39600,Columbus,59400,chess,Ambulance,13200,WV,IL,0,100/300,MALE,6600,Dodge,3,NO,Multi-vehicle Collision,not-in-family,Y
Major Damage,0,2,54390,Springfield,69930,cross-fit,Ambulance,15540,NY,IL,0,100/300,FEMALE,0,Ford,3,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,0,1,54390,Springfield,77700,board-games,Police,15540,NY,IN,1,100/300,FEMALE,7770,Jeep,3,NO,Multi-vehicle Collision,husband,N
Major Damage,0,1,43750,Northbend,68750,yachting,Other,12500,SC,OH,2,500/1000,MALE,12500,Audi,3,NO,Multi-vehicle Collision,wife,Y
Minor Damage,6000000,3,57960,Riverwood,91080,movies,Police,16560,NY,OH,1,100/300,FEMALE,16560,Jeep,3,YES,Multi-vehicle Collision,husband,N
Minor Damage,4000000,3,36270,Columbus,48360,golf,Other,8060,WV,IN,1,500/1000,FEMALE,4030,Audi,1,YES,Single Vehicle Collision,other-relative,N
Major Damage,0,1,76000,Hillsdale,95000,kayaking,Other,9500,WV,OH,1,250/500,MALE,9500,Ford,1,YES,Single Vehicle Collision,other-relative,N
Trivial Damage,4000000,3,2730,Arlington,3900,yachting,Police,390,SC,OH,1,100/300,MALE,780,Ford,1,NO,Vehicle Theft,other-relative,N
Minor Damage,9000000,3,41580,Riverwood,59400,cross-fit,Other,5940,NC,IL,0,500/1000,MALE,11880,Jeep,3,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,7000000,0,46830,Springfield,60210,camping,Fire,6690,NC,OH,2,500/1000,FEMALE,6690,Nissan,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,3,30520,Columbus,43600,video-games,Ambulance,4360,SC,IL,0,250/500,MALE,8720,Suburu,1,YES,Single Vehicle Collision,other-relative,N
Total Loss,0,0,43960,Northbrook,62800,sleeping,Police,12560,SC,IN,0,100/300,MALE,6280,Jeep,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,0,3,41650,Springfield,59500,skydiving,Ambulance,5950,VA,OH,1,250/500,MALE,11900,Dodge,1,NO,Single Vehicle Collision,husband,N
Total Loss,4000000,0,41580,Northbend,53460,skydiving,Police,5940,WV,OH,1,250/500,FEMALE,5940,Honda,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,6000000,1,26530,Northbend,41690,reading,Ambulance,7580,NY,IL,0,100/300,FEMALE,7580,Saab,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,7000000,1,44170,Arlington,63100,paintball,Ambulance,12620,NY,OH,0,100/300,FEMALE,6310,Accura,1,YES,Single Vehicle Collision,wife,N
Total Loss,5000000,1,47160,Arlington,62880,chess,Ambulance,10480,WV,OH,2,500/1000,MALE,5240,Mercedes,1,NO,Single Vehicle Collision,other-relative,Y
Major Damage,0,2,46400,Northbend,75400,paintball,Fire,11600,NY,IL,2,100/300,FEMALE,17400,BMW,3,YES,Multi-vehicle Collision,not-in-family,Y
Total Loss,0,1,33600,Arlington,46200,hiking,Ambulance,8400,SC,OH,1,250/500,MALE,4200,Audi,1,NO,Single Vehicle Collision,husband,N
Major Damage,0,2,46800,Hillsdale,58500,sleeping,Ambulance,5850,VA,IN,2,500/1000,MALE,5850,Toyota,1,YES,Single Vehicle Collision,not-in-family,N
Major Damage,0,3,44160,Columbus,66240,bungie-jumping,Other,11040,SC,OH,1,500/1000,MALE,11040,Nissan,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,3,49080,Hillsdale,65440,camping,Ambulance,8180,PA,IN,1,100/300,FEMALE,8180,Jeep,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,3,42800,Hillsdale,64200,exercise,Fire,10700,SC,IL,0,500/1000,MALE,10700,Ford,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,0,24240,Northbend,32320,dancing,Ambulance,4040,WV,IN,1,100/300,FEMALE,4040,Dodge,3,NO,Multi-vehicle Collision,not-in-family,N
Major Damage,0,1,26040,Northbend,33480,golf,Police,3720,SC,IL,0,500/1000,FEMALE,3720,Dodge,1,NO,Single Vehicle Collision,wife,N
Trivial Damage,7000000,1,2880,Northbend,4320,polo,,960,VA,OH,1,250/500,MALE,480,Toyota,1,YES,Vehicle Theft,wife,N
Trivial Damage,5000000,2,2940,Hillsdale,4200,exercise,Police,420,SC,IL,0,250/500,MALE,840,Jeep,1,NO,Vehicle Theft,other-relative,N
Minor Damage,0,0,42160,Arlington,57970,sleeping,Ambulance,5270,NY,OH,2,100/300,MALE,10540,Saab,3,NO,Multi-vehicle Collision,own-child,N
Trivial Damage,0,2,3360,Arlington,4320,paintball,,960,NY,IN,1,500/1000,MALE,0,Saab,1,NO,Parked Car,husband,N
Minor Damage,0,2,48510,Columbus,69300,reading,Fire,6930,SC,IL,0,500/1000,FEMALE,13860,Ford,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,2,24360,Riverwood,32480,camping,Police,4060,NC,OH,2,100/300,FEMALE,4060,Dodge,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,2,47040,Hillsdale,60480,hiking,Police,6720,NY,IN,2,100/300,MALE,6720,Accura,1,YES,Single Vehicle Collision,not-in-family,N
Trivial Damage,5000000,0,1760,Springfield,2640,polo,Police,440,NC,IL,0,250/500,MALE,440,Honda,1,NO,Parked Car,unmarried,N
Trivial Damage,0,3,4400,Northbend,6050,skydiving,Police,1100,SC,OH,0,500/1000,MALE,550,Volkswagen,1,NO,Parked Car,other-relative,N
